Id,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA08/2020/0327/RM,05-Mar-2020,,05-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",NEWRY AND ARMAGH,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Erection of a dwelling house on an infill site,45m South East of 51 Killuney Road  Armagh,"290,028","345,612",Withdrawn,Withdrawn,,,23-Nov-2021,Q3,85.6,, 
LA08/2020/0339/F,05-Mar-2020,,05-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",UPPER BANN,Full,Local,Industrial,Urban, , ,"Extension of bread manufacturing (class B2) and ancillary ambient storage building and yard, including parking, 2m high boundary fencing and associated works.",20 Esky Drive  Portadown  Craigavon  BT63 5WD,"303,188","356,765",Approved,Approved,07-Mar-2022,Q4,,,99.6,, 
LA08/2020/0341/O,05-Mar-2020,,12-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",NEWRY AND ARMAGH,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Site for farm dwelling and garage.,Adjacent to and 10m North West of 23 Upper Darkley Road  Darkley  Keady  Armagh  BT60 3RE,"285,101","332,873",Refused,Refused,25-Sep-2021,Q2,,,76.4,, 
LA08/2020/0612/RM,05-Mar-2020,,23-Mar-2020,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",UPPER BANN,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Detached house (2 Storey) and Garage,Land 50m west of 98 Old Kilmore Road  Moria  BT67 0NA,"312,406","361,018",Approved,Approved,29-Apr-2021,Q1,,,54.8,, 
LA01/2020/0278/F,06-Mar-2020,,11-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,NORTH ANTRIM,Full,Local,Mixed Use,Urban, , ,"Retention of service yard and refurbishment of existing industrial shed (A) with construction of replacement side lean-to and provision of new industrial shed (B) service yard and sheds use, to be continued for storage of materials and machinery",Lands Adj to and to the rear of Translink Bus Depot  Station Road  Ballycastle,"311,605","440,676",Pending, ,,,,,,1,12 months and over
LA01/2020/0279/F,06-Mar-2020,,06-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Solar panels,Installation of 0.95mw of Photovoltaic panels to generate electricity on solar park ground mounting systems,400m NW of Northstone Croaghan Quarry  Shinny Road  Macosquin,"278,909","426,383",Pending, ,,,,,103.6,1,12 months and over
LA01/2020/0286/O,06-Mar-2020,,09-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Outline,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,Proposed 2 no outline applications for 2 no replacement dwellings and garages,56 & 58 Loughermore Road  Ballykelly,"261,385","419,391",Pending, ,,,,,,1,12 months and over
LA01/2020/0293/F,06-Mar-2020,,12-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Change of Use,Urban, , ,Change of use from existing community hall to Class A1 use for sale and display of carpets (including storage of carpet rolls). Plus the relocation of the existing access arrangements onto the Ballyquin Rd (SEQUENTIAL SITES ASSESSMENT RECEIVED),10 Ballyquin Road  Limavady  BT49 9ET,"267,550","422,112",Pending, ,,,,,107.6,1,12 months and over
LA01/2020/0318/F,06-Mar-2020,,12-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Agricultural,Rural: Countryside, , ,Agricultural shed and lean-to for the storage of hay and agricultural machinery,Rathview Farm  35 Tirkeeran Road  Garvagh,"282,973","414,283",Pending, ,,,,,103.8,1,12 months and over
LA04/2020/0672/F,06-Mar-2020,,03-Aug-2020,Belfast,N13000004,Belfast LPA,BELFAST EAST,Full,Local,Other,Urban, , ,"change of use of building to 2 residential flats, including the erection of an external stairwell, roof terrace and car parking (amended description)",295 Newtownards Road  Belfast  BT4 1AG,"336,021","374,272",Approved,Approved,26-Aug-2021,Q2,,,53.2,, 
