Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2014/0138/F,10/03/2014,,10/03/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed single storey dwelling with attached garage.,Between 418 and 420 Glenshane Road  Claudy  L-Derry.,"254,756","407,534",Approved,Approved,27/07/2016,Q2,,,118.2,, 
A/2014/0188/O,07/04/2014,,07/04/2014,Derry and Strabane,EAST LONDONDERRY,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed Farm Dwelling and Garage,Site 20m East of No 37 Altaghoney Road  Park Claudy,"251,889","402,192",Approved,Approved,24/02/2017,Q4,,,143.8,, 
A/2014/0225/F,02/05/2014,,02/05/2014,Derry and Strabane,FOYLE,Full,Local,Change of Use,Urban, , ,Extinguish the adopted footpath and parking. Create a compound for the shop and revise the roads layout,Adjacent to 37a Bracken Park  Londonderry,"242,968","420,262",Refused,Refused,22/07/2016,Q2,,,110.4,, 
A/2014/0269/F,28/05/2014,,28/05/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, , ,Partial replacement of existing church hall with new extension and renovation and creation of new car park and new access onto Ballyhanedin Road.,Banagher Presbyterian Church. 64 Ballyhanedin Road  Claudy,"258,874","408,955",Pending, ,,,,,,1,12 months and over
A/2014/0355/F,16/07/2014,,16/07/2014,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,"Erection of 12 Cat 1 Elderly Apartments, Landscaping, Car Parking and associated site works (amended description)",26 Beechwood Avenue  Londonderry,"242,733","416,944",Approved,Approved,12/12/2016,Q3,,,120.6,, 
A/2014/0378/F,30/07/2014,,30/07/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"Erection of wind turbine (40m to hub height) (Proposed amendments to turbine previously approved under A/2012/0363/F, increasing the rotor diameter from 30m to 44m.)",372m South West of 54 Slaughtmanus Road  Londonderry.,"251,181","411,678",Withdrawn,Withdrawn,,,19/07/2016,Q2,98,, 
A/2014/0403/F,14/08/2014,,14/08/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Proposed Vesta V29 250KW wind turbine with 40m hub height and 29m rotor diameter,860m south west of 54 Slaughtmanus Road  Londonderry,"251,167","411,634",Approved,Approved,10/01/2017,Q4,,,119.8,, 
A/2014/0438/F,02/09/2014,,02/09/2014,Derry and Strabane,FOYLE,Full,Local,Mixed Use,Urban, , ,"Change of use from restaurant to retail and additional two storey side extension to provide extra storage, ancillary accommodation and atm facility",65a Glenshane Road  Drumahoe  Londonderry,"246,777","414,547",Approved,Approved,10/01/2017,Q4,,,117.4,, 
A/2014/0462/F,16/09/2014,,16/09/2014,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"250kw wind turbine with a 29.5m tower, to feed the farm with the excess supplied to the grid",312m east of 114 Rossdowney Road Derry/Londonderry,"247,257","418,273",Withdrawn,Withdrawn,,,25/08/2016,Q2,96.8,, 
A/2014/0495/F,06/10/2014,,06/10/2014,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Construction of managers dwelling and 6 no cottage style apartments in 2 no blocks with associated landscape works to provide Tourism based ""fishing end use"" on the site, under PPS 16",Lands opposite 52 Lismacarrol Road/Glenshane Road  Crossballycormick  Londonderry,"247,924","413,036",Pending, ,,,,,,1,12 months and over
