Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA11/2018/0643/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Full,Local,Other,Urban, , ,The proposals include the redevelopment of existing informal footpath with works to include:  - 2.0m Wide bitmac footpath - Steel steps (including handrails) from road - Minor earthworks - 1.8 m High wire mesh (lbex) fencing south of the footpath - Removal of two trees to accommodate construction of the footpath - Pedestrian guardrail on public footpath,Land located between the River Faughan and Riverbridge (off Drumahoe Road)  Drumahoe  BT47 3YH,"246,321","414,936",Pending, ,,,,,,1,6 - 12 months
LA11/2018/0660/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Full,Local,Change of Use,Urban, , ,Proposed change of use from existing hostel to HMO including provision of 2 No. additional bedrooms and 6 No. shower rooms,34 Northland Road  Derry  BT48 7NA,"243,274","417,926",Pending, ,,,,,,1,6 - 12 months
LA11/2018/0661/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,WEST TYRONE,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,Retention of domestic garage to west of existing dwelling proposed extension to west of dwelling to provide en-suites.,7 Ednagee Road  Garvetagh  Castlederg  Co. Tyrone  BT81 7QF,"227,329","381,789",Approved,Approved,08/10/2018,Q3,,,12.4,, 
LA11/2018/0662/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Full,Local,Civic,Urban, , ,Removal of part of existing aluminium panelled roof to create outdoor courtyard/beer garden within the demise of the existing licensed public house and associated interior alterations. No creation or removal of development space.,31-33 Shipquay St  Derry City  BT48 6DL,"243,577","416,761",Withdrawn,Withdrawn,,,27/09/2018,Q2,11.0,, 
LA11/2018/0665/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,WEST TYRONE,Full,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Replacement dwelling & attached carport & garage,56 Shanog Road  Killen  Castlederg  BT81 7QP,"224,551","379,387",Approved,Approved,14/02/2019,Q4,,,30.2,, 
LA11/2018/0668/DCA,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Other consents,Local,Other,Urban, , ,Removal of part of existing aluminium panelled roof on portal frame section of building to create outdoor courtyard / beergarden within the demise of the existing licensed public house and associated interior alterations. No creation or removal of development space.,Quays Bar  31-33 Shipquay Street  Derry  BT48 6DL,"243,577","416,761",Withdrawn,Withdrawn,,,27/09/2018,Q2,11.0,, 
LA11/2018/0678/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Full,Local,Civic,Urban, , ,"As part of  fire upgrade works, altering 3 no existing window openings to create  new fire exit points and creating 1 no new escape double door openings ( 1 no double to the sports hall).",Saint Josephs Boys school  West Way  Creggan Estate  Derry  BT48 9NX,"242,462","417,236",Approved,Approved,23/08/2018,Q2,,,6.2,, 
LA11/2018/0711/F,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban other, ,Renovation of existing 9 no. self-contained 1 bed flats and demolition of existing rear returns. 3 storey rear extensions to provide an additional 6 no. self contained 1 bedroom flats (14 units in total),56 & 58 Northland Road  Derry  BT48 0AL,"243,178","418,063",Pending, ,,,,,36.6,1,6 - 12 months
LA11/2018/0712/LBC,09/07/2018,Q2,09/07/2018,Derry and Strabane,FOYLE,Listed Building Consents,Local,Other,Urban, , ,Renovation of existing 9no. self-contained 1 bed flats and demolition of existing rear returns. 3 storey rear extensions to provide an additional 6 no. self-contained bedroom flats (14 units in total ),56 & 58 Northland Road  Derry  BT48 0AL,"243,179","418,063",Pending, ,,,,,36.6,1,6 - 12 months
LA01/2018/0840/F,10/07/2018,Q2,10/07/2018,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Change of Use,Rural: Settlement, , ,Proposed 3 no glamping pods,81A Main Street  Garvagh,"284,120","415,808",Approved,Approved,29/11/2018,Q3,,,19.8,, 
LA01/2018/0842/O,10/07/2018,Q2,11/07/2018,Causeway Coast and Glens,NORTH ANTRIM,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed dwelling on a farm,Rear of 300 Townhill Road  Rasharkin  Ballymena,"297,384","410,594",Refused,Refused,20/11/2018,Q3,,,18.2,, 
LA01/2018/0844/F,10/07/2018,Q2,11/07/2018,Causeway Coast and Glens,NORTH ANTRIM,Full,Local,Residential,Rural: Countryside,Rural extensions and alterations (countryside), ,"Proposed alterations to dwelling to include the removal of roof, new roof raised by approx. 260mm to provide 2No. first floor bedrooms, dressing & shower rooms.  Ground floor redesigned with large lounge window being replaced with 2 smaller windows & dining window replaced with patio doors, existing covered porch at front door built up to be included in the floor area.  Complete dwelling replastered & painted and front yard altered to provide parking spaces.",152 Seacon Road  Ballymoney,"292,768","428,243",Approved,Approved,13/08/2018,Q2,,,4.2,, 
LA01/2018/0860/F,10/07/2018,Q2,10/07/2018,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Change of Use,Urban, , ,"Retention of existing change of use from shop (Class A1) to Cafe including bin storage within existing rear yard area, with associated service access and air extraction/filtraction system from commercial kitchen (Additional information).",19 & 21 Eglinton Street  Portrush  BT56 8DX,"285,868","440,561",Approved,Approved,25/01/2019,Q4,,,27.2,, 
LA01/2018/0882/F,10/07/2018,Q2,18/07/2018,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Civic,Rural: Settlement, , ,"Proposed mobile classroom situated within the grounds of the school, on grassed area adjacent to overflow car park",Approximately 35m South of Faughanvale Primary School  3 Vale Road  Greysteel,"257,518","421,072",Approved,Approved,14/03/2019,Q4,,,33.2,, 
LA02/2018/0656/F,10/07/2018,Q2,10/07/2018,Mid and East Antrim,EAST ANTRIM,Full,Local,Residential,Urban,Urban extensions and alterations, ,Proposed single storey extension to side of dwelling,19 Cumbrae Heights Larne,"338,426","404,001",Approved,Approved,10/08/2018,Q2,,,4.2,, 
LA02/2018/0660/F,10/07/2018,Q2,10/07/2018,Mid and East Antrim,NORTH ANTRIM,Full,Local,Civic,Rural: Countryside, ,Other,Retrospective permission for existing shed to house Biomass Boiler & Associated Equipment,Approx. 30m NE of 49A Bally Road  Ballymena,"310,456","408,835",Approved,Approved,10/08/2018,Q2,,,4.2,, 
